,car_name,company,year,kms_driven,fuel_type,Price
103,Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,575000.0
104,Maruti Suzuki Ertiga,Maruti,2013,42000,Diesel,485000.0
105,Maruti Suzuki Alto,Maruti,2012,14000,Petrol,155000.0
106,Hyundai Grand i10,Hyundai,2014,49000,Diesel,345000.0
107,Honda Amaze 1.2,Honda,2014,42000,Petrol,325000.0
108,Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500.0
109,Ford Figo Diesel,Ford,2014,50000,Diesel,195000.0
110,Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111.0
111,Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999.0
112,Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999.0
113,Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999.0
114,Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000.0
115,Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999.0
116,Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000.0
117,Maruti Suzuki Dzire,Maruti,2015,104000,Diesel,450000.0
118,Toyota Etios Liva,Toyota,2014,55000,Petrol,270000.0
119,Hyundai i20 Sportz,Hyundai,2011,33333,Diesel,350000.0
120,Chevrolet Spark,Chevrolet,2012,33600,Petrol,158400.0
121,Maruti Suzuki Alto,Maruti,2017,5600,Petrol,350000.0
122,Nissan Micra XV,Nissan,2011,41000,Petrol,179000.0
123,Maruti Suzuki Swift,Maruti,2007,70000,Petrol,125000.0
124,Maruti Suzuki Alto,Maruti,2018,7500,Petrol,200000.0
125,Honda Amaze 1.5,Honda,2013,45000,Diesel,299000.0
126,Maruti Suzuki Alto,Maruti,2015,38000,Petrol,220000.0
127,Chevrolet Beat,Chevrolet,2015,30000,Petrol,150000.0
128,Honda City 1.5,Honda,2010,35000,Petrol,285000.0
129,Ford EcoSport Trend,Ford,2016,24330,Diesel,830000.0
130,Hyundai i20 Asta,Hyundai,2009,65480,Petrol,210000.0
131,Maruti Suzuki Swift,Maruti,2013,41000,Petrol,340000.0
132,Tata Indica V2,Tata,2006,20000,Petrol,90000.0
133,Hindustan Motors Ambassador,Hindustan,2000,200000,Diesel,70000.0
134,Toyota Corolla Altis,Toyota,2010,70000,Petrol,289999.0
135,Toyota Corolla Altis,Toyota,2012,59000,Petrol,349999.0
136,Toyota Innova 2.5,Toyota,2012,99000,Diesel,849999.0
137,Volkswagen Jetta Highline,Volkswagen,2014,46000,Diesel,749999.0
138,Volkswagen Polo Comfortline,Volkswagen,2015,2800,Petrol,399999.0
139,Volkswagen Polo,Volkswagen,2014,32000,Petrol,274999.0
140,Mahindra Scorpio,Mahindra,2015,22000,Diesel,984999.0
141,Renault Duster,Renault,2014,50000,Diesel,449999.0
142,Honda Amaze,Honda,2015,22000,Petrol,344999.0
143,Nissan Sunny,Nissan,2012,45000,Petrol,224999.0
144,Hyundai Elite i20,Hyundai,2018,21000,Petrol,599999.0
145,Renault Kwid,Renault,2016,11000,Petrol,244999.0
146,Renault Duster,Renault,2013,41000,Diesel,399999.0
147,Ford EcoSport,Ford,2017,39000,Petrol,489999.0
148,Renault Duster,Renault,2014,50000,Diesel,474999.0
149,Mahindra Scorpio VLX,Mahindra,2011,66000,Diesel,499999.0
150,Maruti Suzuki Alto,Maruti,2018,3000,Petrol,310000.0
151,Chevrolet Spark LT,Chevrolet,2010,45000,Petrol,85000.0
152,Datsun Redi GO,Datsun,2016,7000,Petrol,245000.0
153,Maruti Suzuki Swift,Maruti,2010,38500,Diesel,189500.0
154,Fiat Punto Emotion,Fiat,2012,37200,Diesel,169500.0
155,Maruti Suzuki Swift,Maruti,2010,43200,Diesel,159500.0
156,Toyota Etios GD,Toyota,2013,24800,Petrol,275000.0
157,Hyundai i20 Sportz,Hyundai,2014,60000,Diesel,370000.0
158,Hyundai i10 Sportz,Hyundai,2010,45872,Petrol,168000.0
159,Chevrolet Beat LT,Chevrolet,2011,40000,Diesel,150000.0
160,Chevrolet Beat LS,Chevrolet,2011,45000,Diesel,145000.0
161,Chevrolet Beat LT,Chevrolet,2012,38000,Diesel,98500.0
162,Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000.0
163,Tata Indigo CS,Tata,2011,11400,Diesel,85000.0
164,Toyota Corolla Altis,Toyota,2015,42000,Petrol,575000.0
165,Honda City 1.5,Honda,2014,39000,Petrol,549000.0
166,Maruti Suzuki Swift,Maruti,2011,47000,Diesel,209000.0
167,Hyundai Eon Era,Hyundai,2013,27000,Petrol,185000.0
168,Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000.0
169,Mahindra XUV500,Mahindra,2014,52000,Diesel,699999.0
170,Honda Brio,Honda,2012,30000,Petrol,224999.0
171,Ford Fiesta,Ford,2011,55000,Diesel,274999.0
172,Honda Amaze,Honda,2013,46000,Diesel,284999.0
173,Honda City,Honda,2015,30000,Diesel,599999.0
174,Maruti Suzuki Wagon,Maruti,2012,44000,Petrol,199999.0
175,Honda City,Honda,2014,45000,Diesel,544999.0
176,Hyundai i20,Hyundai,2009,31000,Petrol,199000.0
177,Tata Indigo eCS,Tata,2016,175430,Diesel,320000.0
178,Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000.0
179,Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000.0
180,Fiat Petra ELX,Fiat,2008,65000,Petrol,75000.0
181,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500.0
182,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
183,Hyundai Santro Xing,Hyundai,2005,7500,Petrol,49000.0
184,Maruti Suzuki Ciaz,Maruti,2016,3350,Petrol,700000.0
185,Maruti Suzuki Zen,Maruti,2000,60000,Petrol,55000.0
186,Honda City,Honda,2015,54000,Petrol,448999.0
187,Hyundai Creta 1.6,Hyundai,2017,32000,Petrol,895000.0
188,Mahindra Scorpio SLX,Mahindra,2007,75000,Diesel,355000.0
189,Mahindra Scorpio SLE,Mahindra,2012,62000,Diesel,565000.0
190,Toyota Innova 2.5,Toyota,2006,73000,Diesel,365000.0
191,Maruti Suzuki Alto,Maruti,2011,41000,Petrol,145000.0
192,Maruti Suzuki Wagon,Maruti,2011,35000,Petrol,210000.0
193,Tata Nano Cx,Tata,2013,2200,Petrol,40000.0
194,Maruti Suzuki Alto,Maruti,2013,39000,Petrol,125000.0
195,Maruti Suzuki Wagon,Maruti,2009,45000,Petrol,135000.0
196,Maruti Suzuki Swift,Maruti,2006,45000,Petrol,135000.0
197,Tata Sumo Victa,Tata,2012,65000,Diesel,285000.0
198,Maruti Suzuki Wagon,Maruti,2010,54870,Petrol,145000.0
199,Maruti Suzuki Alto,Maruti,2010,34580,Petrol,135000.0
200,Volkswagen Passat Diesel,Volkswagen,2009,97000,Diesel,450000.0
201,Renault Scala RxL,Renault,2015,25000,Diesel,375000.0
202,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000.0
203,Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000.0
204,Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000.0
205,Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000.0
206,Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000.0
207,Renault Duster 110PS,Renault,2012,35000,Diesel,501000.0
208,Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000.0
209,Force Motors Force,Force,2015,3200,Diesel,580000.0
210,Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000.0
211,Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000.0
212,Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000.0
213,Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000.0
214,Toyota Etios,Toyota,2011,36000,Diesel,275000.0
215,Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000.0
216,Honda City ZX,Honda,2008,45000,Petrol,110000.0
217,Maruti Suzuki Wagon,Maruti,2006,71200,Petrol,80000.0
218,Honda City VX,Honda,2016,52000,Diesel,519000.0
219,Mahindra Thar CRDe,Mahindra,2016,29000,Diesel,730000.0
220,Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000.0
221,Audi A4 1.8,Audi,2009,47000,Petrol,699000.0
222,Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000.0
223,Land Rover Freelander,Land,2015,30000,Diesel,2100000.0
224,Renault Kwid RXT,Renault,2017,5000,Petrol,340000.0
225,Tata Aria Pleasure,Tata,2014,35000,Diesel,390000.0
226,Mercedes Benz B,Mercedes,2014,31000,Petrol,1400000.0
227,Datsun GO T,Datsun,2016,7000,Petrol,245000.0
228,Tata Indigo eCS,Tata,2016,175430,Diesel,320000.0
229,Tata Indigo eCS,Tata,2016,175400,Diesel,320000.0
230,Honda Jazz VX,Honda,2016,41000,Petrol,450000.0
231,Honda Amaze 1.2,Honda,2014,33000,Petrol,311000.0
232,Honda Amaze,Honda,2013,46000,Diesel,284999.0
233,Honda City,Honda,2012,45000,Petrol,399999.0
234,Honda City,Honda,2015,39000,Diesel,599999.0
235,Honda Amaze,Honda,2015,22000,Petrol,344999.0
236,Audi A4 1.8,Audi,2009,47000,Petrol,699000.0
237,Force Motors Force,Force,2015,3200,Diesel,580000.0
238,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000.0
239,Hyundai i20 Active,Hyundai,2015,37000,Diesel,535000.0
240,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
241,Maruti Suzuki Ciaz,Maruti,2017,14000,Petrol,699000.0
242,Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000.0
243,Honda Amaze,Honda,2013,46000,Diesel,284999.0
244,Hyundai Eon Sportz,Hyundai,2012,30000,Petrol,178000.0
245,Tata Sumo Gold,Tata,2013,50000,Diesel,300000.0
246,Maruti Suzuki Wagon,Maruti,2003,45000,Petrol,90000.0
247,Maruti Suzuki Esteem,Maruti,2006,45000,Petrol,95000.0
248,Maruti Suzuki Eeco,Maruti,2015,9300,Petrol,255000.0
249,Chevrolet Enjoy 1.4,Chevrolet,2013,55000,Diesel,245000.0
250,Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500.0
251,Ford Figo Diesel,Ford,2014,50000,Diesel,195000.0
252,Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111.0
253,Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999.0
254,Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999.0
255,Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999.0
256,Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000.0
257,Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999.0
258,Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999.0
259,Maruti Suzuki Wagon,Maruti,2015,22000,Petrol,289999.0
260,Mini Cooper S,Mini,2013,13500,Petrol,1891111.0
261,Nissan Terrano XL,Nissan,2015,60000,Diesel,499999.0
262,Renault Duster 85,Renault,2013,27000,Diesel,489999.0
263,Renault Duster 85,Renault,2014,59000,Diesel,489999.0
264,Renault Duster 85,Renault,2015,19000,Diesel,549999.0
265,Maruti Suzuki Dzire,Maruti,2013,30000,Petrol,380000.0
266,Renault Kwid RXT,Renault,2018,15000,Petrol,325000.0
267,Maruti Suzuki Maruti,Maruti,2003,56758,Petrol,57000.0
268,Renault Kwid 1.0,Renault,2018,10000,Petrol,349999.0
269,Renault Lodgy 85,Renault,2018,20000,Diesel,689999.0
270,Renault Scala RxL,Renault,2014,49000,Diesel,349999.0
271,Hyundai Grand i10,Hyundai,2014,41000,Petrol,410000.0
272,Maruti Suzuki Swift,Maruti,2011,45000,Petrol,225000.0
273,Chevrolet Beat LS,Chevrolet,2010,43000,Petrol,120000.0
274,Tata Indigo eCS,Tata,2016,175430,Diesel,320000.0
275,Hyundai Santro Xing,Hyundai,2000,56450,Petrol,59000.0
276,Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000.0
277,Chevrolet Beat LS,Chevrolet,2010,56000,Petrol,80000.0
278,Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000.0
279,Fiat Petra ELX,Fiat,2008,65000,Petrol,75000.0
280,Chevrolet Beat LS,Chevrolet,2015,32700,Petrol,220000.0
281,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500.0
282,Ford EcoSport Titanium,Ford,2016,30000,Diesel,599000.0
283,Hyundai Accent GLX,Hyundai,2006,56000,Petrol,80000.0
284,Mahindra TUV300 T4,Mahindra,2016,9000,Diesel,675000.0
285,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
286,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
287,Tata Indica V2,Tata,2008,11000,Petrol,150000.0
288,Mini Cooper S,Mini,2013,13000,Petrol,1891111.0
289,Tata Indigo CS,Tata,2009,46000,Diesel,72500.0
290,Maruti Suzuki Swift,Maruti,2019,73,Petrol,610000.0
291,Mahindra Scorpio VLX,Mahindra,2004,160000,Diesel,230000.0
292,Honda Accord,Honda,2009,58559,Petrol,175000.0
293,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000.0
294,Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000.0
295,Ford EcoSport Titanium,Ford,2014,57000,Diesel,520000.0
296,Maruti Suzuki Ertiga,Maruti,2015,50000,Diesel,524999.0
297,Honda Amaze,Honda,2014,37000,Petrol,299999.0
298,Maruti Suzuki Dzire,Maruti,2012,40000,Petrol,299999.0
299,Honda City,Honda,2011,55000,Petrol,284999.0
300,Mahindra Scorpio 2.6,Mahindra,2007,170000,Diesel,220000.0
301,Maruti Suzuki Dzire,Maruti,2014,55000,Diesel,424999.0
302,Honda City,Honda,2015,39000,Petrol,644999.0
303,Honda Mobilio,Honda,2014,44000,Petrol,399999.0
304,Toyota Corolla Altis,Toyota,2009,65000,Petrol,199999.0
305,Honda City,Honda,2014,39000,Petrol,584999.0
306,Skoda Laura,Skoda,2012,44000,Diesel,349999.0
307,Renault Duster,Renault,2015,49000,Diesel,449999.0
308,Maruti Suzuki Ertiga,Maruti,2018,9000,Diesel,799999.0
309,Maruti Suzuki Dzire,Maruti,2015,45000,Diesel,444999.0
310,Mahindra XUV500,Mahindra,2014,47000,Diesel,649999.0
311,Hyundai Verna Fluidic,Hyundai,2012,40000,Diesel,444999.0
312,Maruti Suzuki Vitara,Maruti,2016,29000,Diesel,689999.0
313,Maruti Suzuki Wagon,Maruti,2016,15000,Petrol,344999.0
314,Mahindra Scorpio,Mahindra,2015,45000,Diesel,944999.0
315,Honda Amaze,Honda,2014,35000,Petrol,274999.0
316,Mahindra XUV500,Mahindra,2013,80000,Diesel,689999.0
317,Mahindra Scorpio,Mahindra,2013,68000,Diesel,574999.0
318,Skoda Laura,Skoda,2013,50000,Diesel,374999.0
319,Volkswagen Polo,Volkswagen,2010,60000,Diesel,199999.0
320,Hyundai Elite i20,Hyundai,2016,9000,Petrol,549999.0
321,Tata Manza Aura,Tata,2012,72000,Diesel,130000.0
322,Chevrolet Sail UVA,Chevrolet,2013,60000,Petrol,210000.0
323,Renault Duster 110,Renault,2012,38000,Diesel,501000.0
324,Hyundai Verna Fluidic,Hyundai,2013,45000,Diesel,401000.0
325,Audi A4 2.0,Audi,2012,40000,Diesel,1350000.0
326,Hyundai Elantra SX,Hyundai,2013,20000,Petrol,600000.0
327,Mahindra Scorpio VLX,Mahindra,2013,35000,Diesel,610000.0
328,Mahindra KUV100 K8,Mahindra,2016,20000,Diesel,400000.0
329,Renault Scala RxL,Renault,2015,25000,Diesel,375000.0
330,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000.0
331,Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000.0
332,Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000.0
333,Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000.0
334,Hyundai Grand i10,Hyundai,2017,6821,Petrol,524999.0
335,Hyundai i20,Hyundai,2014,23000,Petrol,449999.0
336,Hyundai Eon,Hyundai,2014,14000,Petrol,174999.0
337,Hyundai i10,Hyundai,2012,38000,Petrol,244999.0
338,Hyundai i20 Active,Hyundai,2015,35000,Diesel,574999.0
339,Datsun Redi GO,Datsun,2017,22000,Petrol,244999.0
340,Toyota Etios Liva,Toyota,2011,41000,Petrol,239999.0
341,Hyundai Accent,Hyundai,2010,45000,Petrol,99999.0
342,Hyundai Verna,Hyundai,2014,44000,Diesel,489999.0
343,Maruti Suzuki Swift,Maruti,2013,45000,Diesel,324999.0
344,Toyota Fortuner,Toyota,2011,52000,Diesel,1074999.0
345,Hyundai i10 Sportz,Hyundai,2012,34000,Petrol,230000.0
346,Mahindra Bolero Power,Mahindra,2018,1800,Diesel,699000.0
347,Mahindra XUV500,Mahindra,2015,15000,Diesel,1000000.0
348,Honda City 1.5,Honda,2010,400000,Petrol,240000.0
349,Chevrolet Spark LT,Chevrolet,2009,44000,Petrol,110000.0
350,Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000.0
351,Renault Duster 110PS,Renault,2012,35000,Diesel,501000.0
352,Mahindra XUV500,Mahindra,2016,72000,Diesel,1130000.0
353,Tata Indigo eCS,Tata,2014,40000,Diesel,250000.0
354,Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000.0
355,Force Motors Force,Force,2015,3200,Diesel,580000.0
356,Skoda Rapid Elegance,Skoda,2013,48000,Diesel,340000.0
357,Tata Vista Quadrajet,Tata,2011,90000,Diesel,120000.0
358,Maruti Suzuki Alto,Maruti,2015,12000,Petrol,265000.0
359,Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000.0
360,Maruti Suzuki Zen,Maruti,2003,69900,Petrol,85000.0
361,Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000.0
362,Hyundai i10 Magna,Hyundai,2011,45000,Petrol,175000.0
363,Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000.0
364,Maruti Suzuki Swift,Maruti,2016,166000,Diesel,350000.0
365,Honda City ZX,Honda,2008,42000,Petrol,149000.0
366,Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000.0
367,Mahindra Jeep MM,Mahindra,2006,122,Diesel,425000.0
368,Chevrolet Beat Diesel,Chevrolet,2017,62000,Diesel,150000.0
369,Honda City 1.5,Honda,2010,70000,Petrol,225000.0
370,Hyundai Verna 1.4,Hyundai,2014,36000,Petrol,375000.0
371,Toyota Innova 2.5,Toyota,2012,0,Diesel,770000.0
372,Maruti Suzuki Maruti,Maruti,1995,55000,Petrol,30000.0
373,Toyota Etios,Toyota,2011,36000,Diesel,275000.0
374,Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000.0
375,Maruti Suzuki Swift,Maruti,2014,55000,Diesel,335000.0
376,Hyundai Elite i20,Hyundai,2015,20000,Diesel,450000.0
377,Maruti Suzuki Swift,Maruti,2012,40000,Petrol,225000.0
378,Maruti Suzuki Versa,Maruti,2004,50000,Petrol,80000.0
379,Tata Indigo LX,Tata,2016,104000,Diesel,130000.0
380,Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000.0
381,Mercedes Benz C,Mercedes,2002,41000,Petrol,399000.0
382,Maruti Suzuki Ertiga,Maruti,2013,90000,Diesel,450000.0
383,Honda City,Honda,2000,80000,Petrol,65000.0
384,Hyundai Santro Xing,Hyundai,2006,46000,Petrol,75000.0
385,Maruti Suzuki Omni,Maruti,2001,70000,Petrol,70000.0
386,Hyundai Sonata Transform,Hyundai,2017,36469,Diesel,190000.0
387,Hyundai Elite i20,Hyundai,2018,7800,Petrol,600000.0
388,Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000.0
389,Maruti Suzuki Alto,Maruti,2017,60000,Petrol,240000.0
390,Maruti Suzuki Alto,Maruti,2011,32000,Petrol,155000.0
391,Honda Jazz S,Honda,2009,24695,Petrol,169999.0
392,Hyundai Grand i10,Hyundai,2017,15141,Petrol,450000.0
393,Maruti Suzuki Zen,Maruti,2001,40000,Petrol,40000.0
394,Mahindra Scorpio W,Mahindra,2012,65000,Diesel,165000.0
395,Maruti Suzuki Alto,Maruti,2014,22000,Petrol,270000.0
396,Hyundai Grand i10,Hyundai,2016,59910,Diesel,280000.0
397,Mahindra XUV500 W8,Mahindra,2012,100000,Diesel,560000.0
398,Hyundai Creta 1.6,Hyundai,2016,25000,Petrol,950000.0
399,Hyundai i20 Magna,Hyundai,2013,35000,Petrol,310000.0
400,Renault Duster 85,Renault,2015,65000,Diesel,715000.0
401,Hyundai Grand i10,Hyundai,2014,35000,Petrol,340000.0
